"ISBN"	"BOOKNAME"	"PRICERENT"	"TOTAL"	"REMAIN"	"ID_TYPE"	"ID_COMPANY"	"WRITER"	"NUM_PAGE"	"DETAIL"	"DATE_ADD"
8859189300454	"Vocabulary & Colours สัตว์เลี้ยงและสัตว์ป่า  "	2	3	2	300	22	"บก. อดิศรา เตชะกิจจาทร"	368	"หนังสือภาพเสริมทักษะคำศัพท์ภาษาอังกฤษและสีสำหรับเด็ก ที่คุณพ่อคุณแม่สามารถร่วมสนุกไปด้วยได้ เพื่อเสริมสร้างพัฒนาการจดจำ การสังเกตภาพและเพิ่มคลังคำศัพท์ภาษาอังกฤษให้กับน้องๆ นำเสนอผ่านภาพระบายสี เขียนคำศัพท์ตามเส้นประ จับคู่ภาพที่สัมพันธ์กัน จับคู่ภาพเหมือน จับคู่คำศัพท์ภาษาอังกฤษของภาพสัตว์เลี้ยงและสัตว์ป่า พร้อมสติกเกอร์สัตว์เลี้ยงและสัตว์ป่าภายในเล่ม"	17 ธ.ค.  2015
9786163447302	"การ์ตูน นุ่น The Series 3 "	5	5	5	300	25	"จ๊อด8ริ้ว"	123	"""จ๊อด8ริ้ว"" กลับมาอีกครั้งกับการ์ตูนกระแทกสังคมที่อ่านเอามันส์ก็มันส์ อ่านไปคิดไปก็ได้สาระ เรื่องราวของ ""นุ่น"" และแก๊งเพื่อนที่มาพร้อมเรื่องราววุ่นๆ เมื่อมีคนแอบปล่อยคลิปเด็ด จนเป็นเรื่องเป็นราวใหญ่โต และเดือดร้อนมาถึงนุ่นที่ถูกใส่ร้ายว่าเป็นคนปล่อยคลิปนั้น? งานนี้เพื่อนๆ ต้องยกแก๊งมาช่วยนุ่นไม่ให้ใครมารังแก หรือจะสงสารคนที่มาหาเรื่องนุ่นดีล่ะ?"	17 ธ.ค.  2015
9786163211811	"สรุปเข้ม Vocab พร้อมแนวข้อสอบ"	10	5	5	400	26	"ดร. ศุภวัฒน์ พุกเจริญ"	224	"หนังสือเล่มนี้สรุปคำศัพท์ภาษาอังกฤษกว่า 1,500 คำ ที่มักออกข้อสอบในระดับมัธยมศักษาตอนปลายและมหาวิทยาลัย พร้อมการอธิบายหน้าที่ทางไวยากรณ์ คำที่มีความหมายเหมือนหรือใกล้เคียงกัน ตัวอย่างประโยค ตลอดจนการวิเคราะห์โครงสร้างของคำหรือ WORD FORMATION เพื่อเรียนรู้คำศัพท์ใหม่ๆ เพิ่มเติมอย่างเป็นระบบโดยไม่ต้องท่องจำ"	17 ธ.ค.  2015
9789742351328	"Biology For High School Students"	10	2	2	400	28	"จิรัสย์ เจนพาณิชย์"	224	"รวมสรุปย่อเนื้อหาที่สำคัญวิชาชีววิทยา สำหรับชั้นมัธยมศึกษาตอนปลาย พร้อมแบบทดสอบที่หลากหลายในแต่ละบท และข้อสอบเข้ามหาวิทยาลัย 19 ฉบับ ทั้ง Entrance, A-NET และ PAT โดยมีแบบเฉลยให้ได้ตรวจสอบความถูกต้องด้วยตนเอง เพื่อทบทวนและทำความเข้าใจในเนื้อหาให้มีความแม่นยำมากยิ่งขึ้น เหมาะสำหรับใช้สอบในระดับต่างๆ ได้เป็นอย่างดี"	17 ธ.ค.  2015
9786160803224	"สุดยอดความรู้รอบตัว"	3	2	2	500	30	"ฝ่ายวิชาการภาษาไทย บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน)"	100	"นี่คือคู่มือความรู้สำคัญที่คนไทยควรรู้ เนื้อหาในเล่มเป็นการรวบรวมความรู้หลากหลายสาขาที่สุด ทั้งสำนวนไทย ราชาศัพท์ ลักษณะนาม เครื่องหมายวรรคตอน ลำดับพระมหากษัตริย์ไทย หลักการถอดคำ อังกฤษเป็นไทย-ไทยเป็นอังกฤษ คำที่มักเขียนผิด ชื่อประเทศ ดินแดน เมืองหลวง และหน่วยเงินตรา อักษรย่อภาษาไทย-ภาษาอังกฤษ เว็บไซต์ที่ควรรู้ ศัพท์คอมพิวเตอร์และอินเทอร์เน็ต อักษรย่อทางอินเทอร์เน็ต สัญลักษณ์พื้นฐานทางคณิตศาสตร์ มาตราต่างๆ ชื่อธาตุ สูตรการหาพื้นที่ ปลาน้ำจืด ปลาทะเล สัตว์ป่าสงวน ดอกไม้และพรรณพืช และอีกหลากหลายที่คัดสรรมาอย่างดีแล้ว ในรูปเล่มกะทัดรัด พกพาสะดวก เหมาะสำหรับนักเรียน นักศึกษา และบุคคลทั่วไป"	17 ธ.ค.  2015
9786167703992	"ฮอร์โมนวัยน่ารู้"	5	2	1	500	31	"กองบรรณาธิการมังกี้บุ๊กส์"	120	"""ฮอร์โมนวัยน่ารู้"" เล่มนี้ จะพาเด็กๆ ไปเรียนรู้จักกับ ""ฮอร์โมน"" ในร่างกายในรูปแบบที่อ่านเข้าใจง่าย ทำไมเตี้ย ทำไมอ้วน ทำไมสิวเยอะ ฯลฯ ทุกคำตอบมีส่วนเกี่ยวข้องกับ ""ฮอร์โมน"" ใครไม่อยากตกเทรนด์ต้องอ่านเล่มนี้"	17 ธ.ค.  2015
9786160617135	"Tokyo Kiss ฝ่าภารกิจหัวใจให้ได้ใกล้เธอ"	10	5	4	200	21	"silly sis"	224	"ดวงตกคืออะไรคะ น้ำหนาวคนนี้ไม่รู้จัก ด้วยความที่ฉันเป็นคนโชคดีลัคกี้อินเกมอยู่เสมออ่ะนะ ส่งอะไรไปชิงโชคก็จะได้นู่นได้นี่อยู่ตลอด ^O^แต่ก็ไม่เข้าใจเหมือนกันนะว่าทำไม พี่ไทม์แฟนของฉันต้องคอยบ่นเรื่องชอบชิงโชคนี่ ถึงขั้นจะต้องเลิกกันเพราะเรื่องนี้เลย? ก็เสียใจนะ... แต่ไม่แคร์

เพราะอย่างล่าสุดนี่ฉันก็เพิ่งได้ตั๋วเครื่องบินไปเที่ยวญี่ปุ่นมาจากการชิงโชคล่ะ ทว่า...ในความโชคดีก็ดูเหมือนจะมีความโชคร้ายแอบแฝงอยู่ เมื่อหนุ่มหล่อเพื่อนร่วมทริปเพียงคนเดียวอย่าง เจเนียล ดันดูไม่ค่อยจะเต็ม นี่หมายความว่าฉันต้องมาทำภารกิจตะลุยเมืองญี่ปุ่นตามกติกาของการเป็นผู้โชคดีร่วมกับคนบ๊องๆ อย่างอีตานี่เนี่ยนะ TOTฮือๆ แล้วฉันจะเอาตัวรอดกลับเมืองไทยแบบครบสามสิบสองได้มั้ยล่ะเนี่ย!?"	18 ธ.ค.  2015
9786160617197	"My Grumpy Boo เผลอรักหมดใจนายจอมเหวี่ยง"	10	5	4	200	21	"Mina"	224	"ทำไมชีวิตฉันถึงหาความสงบสุขไม่ได้สักทีนะ ตอนเรียนที่ญี่ปุ่นก็ไม่มีเพื่อนคบ เพราะดันไปอยู่ใกล้ ชุน เพื่อนสนิท (ที่ฉันคิดเอาเอง) ซึ่งผู้หญิงในโรงเรียนต่างชื่นชอบเขามาก ให้ตายเหอะ หมอนั่นมันตัวแสบชัดๆ เพราะฉันต้องย้ายกลับเมืองไทยด้วยวีรกรรมที่เขาก่อไง มันน่าโบกมั้ยล่ะ -_-

แล้วชีวิตนักเรียน ม.ปลาย ใน S.E.G School ของฉันเป็นไงน่ะเหรอ เหอะ ก็ไม่ได้ต่างกับที่ญี่ปุ่นเลยสักนิดน่ะสิ เผลอๆ อาจจะแรงกว่าเดิมด้วยซ้ำ เพราะคุณป้าดันไปขอร้องให้ แทนไท ลูกชายเพื่อนสนิทของท่านมาดูแลฉันที่โรงเรียน โดยที่ไม่รู้เล้ยว่าเขาน่ะเป็นหนึ่งในสมาชิกกลุ่ม The Only Son สมบัติอันล้ำค่าของผู้หญิงในโรงเรียนนี้ โอ๊ย ฉันอยากจะกรีดร้องเป็นภาษามนุษย์ต่างดาวดวงที่ยี่สิบสี่ นี่สรุปชีวิตฉันยังคงต้องโดนเพื่อนแกล้งต่อไปใช่มั้ย คิดแล้วเศร้า กระซิกๆ T^T
"	18 ธ.ค.  2015
9786160617173	"สองหัวใจนี้...เพื่อเธอ"	5	4	4	200	21	"จินโจว"	528	"ชีวิตของ เกวลินกำลังเผชิญกับเรื่องราวแสนประหลาด เมื่อจู่ๆ เธอก็ได้พบชายสองคนที่รูปร่างหน้าตาเหมือนกันไม่มีผิดเพี้ยน แต่นิสัยแตกต่างกันสุดขั้วราวกับเป็นคนละคนทั้งๆ ที่พวกเขาไม่ใช่ฝาแฝด!
ราวกับว่าอาการของเขาเหมือน ผีเข้าผีออก... บางครั้งก็เป็น นายเมฆ ชายหนุ่มที่ท่าทางเหมือนคนสมัยก่อนซึ่งทั้งขี้อ้อนและน่าเอ็นดู บางทีก็เป็น คุณธรรณ เจ้านายหนุ่มที่ทั้งใจร้าย เคร่งขรึมเย็นชา แถมยังมีพลังจิตอีกต่างหาก ก็ไม่รู้ว่าตัวตนไหนของเขาคือภาคผีเข้าหรือผีออกกันแน่!
แล้วการที่ในหัวเธอมักปรากฏภาพเหตุการณ์ในสมัยก่อนที่ระยะนี้เกิดขึ้นบ่อยครั้งหลังจากที่ได้เจอพวกเขาทั้งสองคนนั้นมันคืออะไร
...ชีวิตเธอกำลังเผชิญกับชะตากรรมอะไรอยู่กันนะ...
รายได้ส่วนหนึ่งจากการจำหน่ายหนังสือเล่มนี้ ขอมอบให้กับโรงเรียนพระดาบส จังหวัดชายแดนภาคใต้
และมูลนิธิรามาธิบดี ในพระราชูปถัมภ์ สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี"	18 ธ.ค.  2015
9786160406821	"เลี้ยงหมาฮาสุดตืด เล่ม 16"	5	2	2	300	32	"Yang, Tae-Soo"	250	"ครอบครัวตึ๋งหนืดได้สมาชิกใหม่ เป็นน้องหมาตัวน้อยสุดแสนจะน่ารัก แต่ขึ้นชื่อว่าตึ๋งหนืด การเลียงสุนักสักตัวคงไม่ใช่เรื่องธรรมดาแน่นอน ""ถ้าจะเลียงหมา ก็ห้ามใช้เงินโดยเด็ดขาด"" นี่คือกฎที่คุณโรส ตึ๋งหนืดตัวแม่ตั้งขึ้น ""โทรุ"" และ ""ฮารุ"" จึงต้องหารวิธีเลี้ยงเจ้าตูบอย่างประหยัดสุดๆ พบไอเดียการเลี้ยงหมาเด็ดๆ ไม่ว่าจะเป็น เคล็ดลับเลือกสุนัขที่เหมาะกับเรา กลวิธีดูแลน้องหมาให้มีความสุข เมนูอาหารสุนัขสุดประหยัด รวมทั้งเรื่องราวประทับใจของเจ้าตูบทั่วโลก ที่คนรักหมาไม่ควรพลาด และคนไม่รักหมายิ่งห้ามพลาด!"	18 ธ.ค.  2015
9786162366192	"แนวข้อสอบ ม.3 เข้า ม.4"	2	3	2	400	27	"ปฏิญญา นาฬิเกร์"	200	"รวบรวมแนวข้อสอบคัดเลือกเข้าศึกษาต่อระดับชั้นมัธยมศึกษาปีที่ 4 ของโรงเรียนประจำจังหวัดทั่วประเทศ ครบ
ทั้ง 5 วิชา ทั้งภาษาไทย คณิตศาสตร์ ภาษาอังกฤษ สังคมศึกษา และวิทยาศาสตร์ พร้อมเฉลยอย่างละเอียด
เข้าใจง่าย เพื่อให้ผู้อ่านสามารถทบทวนสรุปย่อ เตรียมความพร้อมในการสอบแข่งขันเข้าศึกษาต่อได้เป็นอย่างดี
"	18 ธ.ค.  2015
